Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Steps (count)
2/20/19 0:00,2/21/19 0:00,458.7604443,3.792507007,3,6770
2/21/19 0:00,2/22/19 0:00,1042.882766,10.52190247,4,18600.12249
2/22/19 0:00,2/23/19 0:00,698.3755171,7.058400542,13,12515.87579
2/23/19 0:00,2/24/19 0:00,1113.214778,9.210200453,95,16294.99617
2/24/19 0:00,2/25/19 0:00,763.6868954,8.836821816,7,14972.68221
2/25/19 0:00,2/26/19 0:00,506.9943011,4.589964809,1,8172.507577
2/26/19 0:00,2/27/19 0:00,817.5784524,8.24874519,8,14301
2/27/19 0:00,2/28/19 0:00,367.4527149,3.594453347,5,6530
2/28/19 0:00,3/1/19 0:00,520.030373,5.019264733,12,8781
3/1/19 0:00,3/2/19 0:00,562.4988537,5.829390078,5,10349
3/2/19 0:00,3/3/19 0:00,908.4911463,8.784913385,0,12652
3/3/19 0:00,3/4/19 0:00,1074.05612,10.07752866,2,14928
3/4/19 0:00,3/5/19 0:00,587.1678799,5.678805647,10,10113
3/5/19 0:00,3/6/19 0:00,805.917,8.509315451,9,14565
3/6/19 0:00,3/7/19 0:00,434.2797041,3.615194425,8,6405
3/7/19 0:00,3/8/19 0:00,778.5662959,8.320973803,14,14512
3/8/19 0:00,3/9/19 0:00,376.295,3.622333428,8,6485
3/9/19 0:00,3/10/19 0:00,416.1061943,3.77380342,1,6484
3/10/19 0:00,3/11/19 0:00,605.7916448,5.821376041,1,9763.5085
3/11/19 0:00,3/12/19 0:00,544.9665305,4.791958539,9,8522.413945
3/12/19 0:00,3/13/19 0:00,688.0258008,7.096710103,9,12416.46363
3/13/19 0:00,3/14/19 0:00,597.9287111,6.73038021,11,11573
3/14/19 0:00,3/15/19 0:00,654.6591185,6.612115173,8,11575
3/15/19 0:00,3/16/19 0:00,513.378,4.566621036,17,7731
3/16/19 0:00,3/17/19 0:00,411.884,3.621298649,3,6240
3/17/19 0:00,3/18/19 0:00,381.15,4.95030747,7,8746
3/18/19 0:00,3/19/19 0:00,650.4406525,6.13444743,8,10632.96298
3/19/19 0:00,3/20/19 0:00,599.2802804,5.177303097,7,9127
3/20/19 0:00,3/21/19 0:00,676.459185,6.973927862,9.177213116,12197
3/21/19 0:00,3/22/19 0:00,591.530908,5.356933597,4.822786884,9413
3/22/19 0:00,3/23/19 0:00,990.7770002,9.749616477,9,14417
3/23/19 0:00,3/24/19 0:00,445.3179739,3.920466136,1,7008.097066
3/24/19 0:00,3/25/19 0:00,326.569,2.318481194,3,3961
3/25/19 0:00,3/26/19 0:00,437.541,3.469864878,5,6037
3/26/19 0:00,3/27/19 0:00,703.5829672,5.163275704,39,8968
3/27/19 0:00,3/28/19 0:00,667.9920328,5.087717217,4,9298
3/28/19 0:00,3/29/19 0:00,539.2618815,4.045693988,30,7057.539368
3/29/19 0:00,3/30/19 0:00,484.5367592,4.819847386,2,8441
3/30/19 0:00,3/31/19 0:00,706.9252764,7.796858574,1,12911.10941
3/31/19 0:00,4/1/19 0:00,804.5402896,9.715419978,4,16450.86011
4/1/19 0:00,4/2/19 0:00,537.8747933,5.909967522,17,10574
4/2/19 0:00,4/3/19 0:00,364.585,3.73792496,11,6717
4/3/19 0:00,4/4/19 0:00,1037.132618,9.459706985,11,15871
4/4/19 0:00,4/5/19 0:00,548.606777,5.505904284,8,9623
4/5/19 0:00,4/6/19 0:00,708.6604372,7.05318668,11,12230
4/6/19 0:00,4/7/19 0:00,481.1071312,5.44810229,1,9072.921758
4/7/19 0:00,4/8/19 0:00,555.5778113,5.53864112,5,9425.053098
4/8/19 0:00,4/9/19 0:00,590.7662258,5.819041328,14,10195
4/9/19 0:00,4/10/19 0:00,702.63,6.834124495,10,11822
4/10/19 0:00,4/11/19 0:00,1017.296046,7.085799039,9,11993.42174
4/11/19 0:00,4/12/19 0:00,576.4949535,5.836463342,17,10133
4/12/19 0:00,4/13/19 0:00,560.3236405,5.494382271,12,9820
4/13/19 0:00,4/14/19 0:00,1518.923359,6.220435306,2,10437
4/14/19 0:00,4/15/19 0:00,1766.907,17.91206094,1,25578
4/15/19 0:00,4/16/19 0:00,439.7450728,4.513035042,15,7865.635863
4/16/19 0:00,4/17/19 0:00,653.6808711,6.117653666,17,10909
4/17/19 0:00,4/18/19 0:00,635.4076279,5.782566897,17,10118.0946
4/18/19 0:00,4/19/19 0:00,604.9132376,5.825290391,13,9986
4/19/19 0:00,4/20/19 0:00,577.8587483,6.52141723,14,11162.43163
4/20/19 0:00,4/21/19 0:00,342.5746614,3.261717279,1,5724
4/21/19 0:00,4/22/19 0:00,621.856781,6.831111001,4,12049.07721
4/22/19 0:00,4/23/19 0:00,599.1667554,6.81349876,15,11709
4/23/19 0:00,4/24/19 0:00,826.6282446,8.505371817,13,14437
4/24/19 0:00,4/25/19 0:00,941.892,11.28759863,9,19076.24676
4/25/19 0:00,4/26/19 0:00,616.640531,5.269432345,17,9224
4/26/19 0:00,4/27/19 0:00,728.0647654,8.602217358,14,14724.67455
4/27/19 0:00,4/28/19 0:00,501.5017036,5.877169858,2,10373.80933
4/28/19 0:00,4/29/19 0:00,451.842,4.403217758,8,7698
4/29/19 0:00,4/30/19 0:00,762.021,7.900612117,12,13711
4/30/19 0:00,5/1/19 0:00,684.8159913,7.9605862,11,13835
5/1/19 0:00,5/2/19 0:00,994.2064404,11.64445204,9,19626
5/2/19 0:00,5/3/19 0:00,791.7910759,9.627375708,9,16477.39356
5/3/19 0:00,5/4/19 0:00,655.408354,7.41733077,11,13127.64365
5/4/19 0:00,5/5/19 0:00,1027.924138,10.55013131,3,16178.6561
5/5/19 0:00,5/6/19 0:00,542.1139499,5.888202516,1,10426.1627
5/6/19 0:00,5/7/19 0:00,693.7290335,7.585108942,14,13406.60928
5/7/19 0:00,5/8/19 0:00,709.4619914,7.442451921,14,12993.22802
5/8/19 0:00,5/9/19 0:00,548.8260733,3.912995569,19,6855
5/9/19 0:00,5/10/19 0:00,643.6582175,4.017239301,16,7094.267994
5/10/19 0:00,5/11/19 0:00,532.0341405,5.896940164,21,10551
5/11/19 0:00,5/12/19 0:00,569.5065939,5.976919415,11,10521.66086
5/12/19 0:00,5/13/19 0:00,711.21,8.751830476,14,14913
5/13/19 0:00,5/14/19 0:00,611.7643811,6.610228708,11,11477
5/14/19 0:00,5/15/19 0:00,667.0516189,8.057615271,10,13635
5/15/19 0:00,5/16/19 0:00,505.5075381,5.725643355,8,10005
5/16/19 0:00,5/17/19 0:00,591.8795886,6.348564517,14,11099.08332
5/17/19 0:00,5/18/19 0:00,735.1871995,5.757216028,13,9841.916685
5/18/19 0:00,5/19/19 0:00,672.5878236,5.330269603,8,9354
5/19/19 0:00,5/20/19 0:00,450.0328501,4.845442066,2,8239.237685
5/20/19 0:00,5/21/19 0:00,343.5851299,3.911571299,19,7070
5/21/19 0:00,5/22/19 0:00,388.2048701,3.811946366,13,6631.898956
5/22/19 0:00,5/23/19 0:00,563.477,6.086104784,7,10296
5/23/19 0:00,5/24/19 0:00,331.6097222,3.507117845,10,6243
5/24/19 0:00,5/25/19 0:00,702.0412778,7.189055139,8,11534
5/25/19 0:00,5/26/19 0:00,410.0799517,3.995640636,1,7056
5/26/19 0:00,5/27/19 0:00,565.2830483,5.408836134,4,9409
5/27/19 0:00,5/28/19 0:00,585.3437585,6.152776474,8,10684.76595
5/28/19 0:00,5/29/19 0:00,639.2020767,5.983020833,7,10380.08947
5/29/19 0:00,5/30/19 0:00,396.8271271,5.405621032,9,9603.840957
5/30/19 0:00,5/31/19 0:00,395.3148775,4.534152825,5,7958.303618
5/31/19 0:00,6/1/19 0:00,395.3148775,4.587190218,4,8146.229497
6/1/19 0:00,6/2/19 0:00,395.3148775,6.008785845,2,10201.7705
6/2/19 0:00,6/3/19 0:00,395.3148775,1.615405966,0,2938
6/3/19 0:00,6/4/19 0:00,773.8398995,6.569837443,10,11422.9869
6/4/19 0:00,6/5/19 0:00,685.3323959,7.658556272,15,13051.7903
6/5/19 0:00,6/6/19 0:00,571.1512324,5.492283953,8,9290.222792
6/6/19 0:00,6/7/19 0:00,423.9044579,4.125418229,10,7233.350332
6/7/19 0:00,6/8/19 0:00,858.6485421,10.13975123,16,16644.64967
6/8/19 0:00,6/9/19 0:00,240.5271031,1.559293712,0,2772.675784
6/9/19 0:00,6/10/19 0:00,23.69489689,3.392770807,0,7587
6/10/19 0:00,6/11/19 0:00,331.2995906,5.445501508,11,10004.69929
6/11/19 0:00,6/12/19 0:00,537.5214094,5.671562857,11,9979
6/12/19 0:00,6/13/19 0:00,562.5901214,5.914335256,13,10976.60947
6/13/19 0:00,6/14/19 0:00,511.5128786,5.224766802,3,9644
6/14/19 0:00,6/15/19 0:00,393.5417053,3.476831317,5,6346.666924
6/15/19 0:00,6/16/19 0:00,185.6332947,1.497717821,2,2606.44738
6/16/19 0:00,6/17/19 0:00,0,0.001322964,6,2.780127186
6/17/19 0:00,6/18/19 0:00,0,0.001322964,84,2.780127186
6/18/19 0:00,6/19/19 0:00,0,0.001322964,53,2.780127186
6/19/19 0:00,6/20/19 0:00,0,0.001322964,1,2.780127186
6/20/19 0:00,6/21/19 0:00,387.0446996,3.284280061,8,5720.47793
6/21/19 0:00,6/22/19 0:00,549.2540917,5.042636565,5,8856.972634
6/22/19 0:00,6/23/19 0:00,673.4682087,6.988814788,1,11427.29299
6/23/19 0:00,6/24/19 0:00,443.9673815,3.387229483,6,5981.809734
6/24/19 0:00,6/25/19 0:00,473.0396185,3.696620253,5,6384.190266
6/25/19 0:00,6/26/19 0:00,561.5208557,5.440550785,4,9368
6/26/19 0:00,6/27/19 0:00,642.2781443,6.260385188,6,10926
6/27/19 0:00,6/28/19 0:00,502.8503686,5.042511574,5,8913
6/28/19 0:00,6/29/19 0:00,464.9757618,3.676638668,2,6473.236658
6/29/19 0:00,6/30/19 0:00,549.4569841,4.437504925,8,7812.763342
6/30/19 0:00,7/1/19 0:00,482.6504914,4.547116334,2,8193
7/1/19 0:00,7/2/19 0:00,697.7161662,6.871384135,11,11876.23087
7/2/19 0:00,7/3/19 0:00,789.4919093,8.185585572,8,13994.90463
7/3/19 0:00,7/4/19 0:00,547.1783956,5.70132006,4,9935
7/4/19 0:00,7/5/19 0:00,604.1855311,5.941953954,7,10336
7/5/19 0:00,7/6/19 0:00,723.5856442,8.003832134,5,13539
7/6/19 0:00,7/7/19 0:00,535.3883016,5.492938004,2,9551.422236
7/7/19 0:00,7/8/19 0:00,871.1580436,9.948898782,4,16484.08249
7/8/19 0:00,7/9/19 0:00,772.7414843,8.377527789,6,14828
7/9/19 0:00,7/10/19 0:00,454.4262371,3.848266839,8,6739
7/10/19 0:00,7/11/19 0:00,678.0079367,6.868829439,9,12108
7/11/19 0:00,7/12/19 0:00,596.3306558,5.75766072,9,10104.36011
7/12/19 0:00,7/13/19 0:00,584.1200888,5.820104452,5,9970
7/13/19 0:00,7/14/19 0:00,650.8741799,6.022215379,17,10695.60981
7/14/19 0:00,7/15/19 0:00,379.6998201,3.602063856,4,6126.358741
7/15/19 0:00,7/16/19 0:00,0,0.011621806,10,18.88328871
7/16/19 0:00,7/17/19 0:00,246.1609191,1.816064054,7,3196.148156
7/17/19 0:00,7/18/19 0:00,606.2107247,5.420077366,8,9533
7/18/19 0:00,7/19/19 0:00,489.731082,3.95130277,1,6935.425199
7/19/19 0:00,7/20/19 0:00,681.7792742,6.562128039,8,11543.5748
7/20/19 0:00,7/21/19 0:00,221.465,0.977137949,0,1753
7/21/19 0:00,7/22/19 0:00,1745.828852,9.346718911,2,16111.76125
7/22/19 0:00,7/23/19 0:00,626.5948024,6.399429364,8,11165.36634
7/23/19 0:00,7/24/19 0:00,441.2963455,3.745492139,2,6717.224553
7/24/19 0:00,7/25/19 0:00,676.6591386,6.821105569,11,12068.50686
7/25/19 0:00,7/26/19 0:00,506.1458614,4.344030394,1,7640
7/26/19 0:00,7/27/19 0:00,517.3372926,4.980838696,0,8829.238535
7/27/19 0:00,7/28/19 0:00,550.1564647,5.380837187,2,9457.547684
7/28/19 0:00,7/29/19 0:00,590.1797859,5.685226818,3,10056
7/29/19 0:00,7/30/19 0:00,398.7029226,2.840731882,0,4968
7/30/19 0:00,7/31/19 0:00,740.4235341,7.988276126,6,13861
7/31/19 0:00,8/1/19 0:00,313.29,2.199365024,0,3793
8/1/19 0:00,8/2/19 0:00,371.662,5.434845704,0,10453.25074
8/2/19 0:00,8/3/19 0:00,773.1893477,6.231002344,1,10417.35128
8/3/19 0:00,8/4/19 0:00,599.061646,4.398722032,2,7860
8/4/19 0:00,8/5/19 0:00,353.4910063,1.644468408,1,3037
8/5/19 0:00,8/6/19 0:00,608.9,7.178817737,10,9252
8/6/19 0:00,8/7/19 0:00,433.599,3.551808801,9,6251
8/7/19 0:00,8/8/19 0:00,445.548,3.689833078,9,6673.779944
8/8/19 0:00,8/9/19 0:00,559.615,4.740156721,12,8436.543515
