major1,major2,major3,minor1,minor2,minor3
SOC,NA,NA,EUR,DMF,NA
BIMED,NA,NA,CHEM,FRST,NA
PSYC,NA,NA,GOVT,NA,NA
PHYS,NA,NA,MATH,NA,NA
EN_EN,NA,NA,OUTDR,NA,NA
PUB,GS,NA,AFS,NA,NA
BIOL,HIST,NA,NA,NA,NA
ENG,NA,NA,ITAL,REL,NA
PSYC,NA,NA,EDUCS,SSES,NA
PSYC,HISP,NA,PUB,NA,NA
GS,NA,NA,SSES,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
SOC,HISP,NA,CLAS,NA,NA
BIOL,NA,NA,PUB,NA,NA
NRSCI,MATH,NA,NA,NA,NA
CHEM,NA,NA,BIOL,NA,NA
ENVS,MUS,NA,OUTDR,NA,NA
ENG,NA,NA,NA,NA,NA
FINC,BUSLA,NA,CHIN,NA,NA
MATH,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
CONBI,NA,NA,STATS,AFS,NA
MUS,NA,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
NRSCI,NA,NA,PUB,NA,NA
BIOL,ANTH,NA,PUB,NA,NA
ECON,NA,NA,NA,NA,NA
PSYC,NA,NA,PUB,HISP,NA
PCA,ENVS,NA,NA,NA,NA
EN_PH,NA,NA,OUTDR,NA,NA
EC_MA,CS,NA,NA,NA,NA
BIOL,NA,NA,SOC,NA,NA
BIOL,NA,NA,SOC,NA,NA
EN_SO,NA,NA,EDUCS,NA,NA
PSYC,NA,NA,EDUCS,PUB,NA
GOVT,NA,NA,DMF,NA,NA
PCA,NA,NA,HIST,NA,NA
EN_MA,NA,NA,STATS,NA,NA
ANTH,NA,NA,PUB,NA,NA
EN_BI,PUB,NA,NA,NA,NA
GEOL,ANTH,NA,NA,NA,NA
PSYC,NA,NA,SOC,NA,NA
ECON,NA,NA,EUR,GOVT,NA
GOVT,BUSLA,NA,NA,NA,NA
BIOL,CS,NA,NA,NA,NA
DMF,PCA,NA,NA,NA,NA
BIOL,BUSLA,NA,NA,NA,NA
MATH,CS,NA,NA,NA,NA
EN_EC,NA,NA,NA,NA,NA
DATA,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
EC_MA,NA,NA,NA,NA,NA
CS,ENG,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
MATH,BUSLA,NA,NA,NA,NA
PSYC,MUS,NA,NA,NA,NA
ECON,NA,NA,STATS,NA,NA
GEOL,NA,NA,ANTH,REL,NA
STAT,PSYC,NA,NA,NA,NA
PUB,NA,NA,NA,NA,NA
PCA,HISP,NA,NA,NA,NA
BIOCH,NA,NA,NA,NA,NA
GOVT,NA,NA,GS,NA,NA
ECON,NA,NA,GOVT,NA,NA
BI_PH,NA,NA,MATH,CHEM,NA
CS,NA,NA,NA,NA,NA
PSYC,PUB,NA,NA,NA,NA
PCA,DMF,NA,NA,NA,NA
HIST,NA,NA,EDUCS,NA,NA
ECON,BUSLA,NA,NA,NA,NA
GS,BUSLA,NA,NA,NA,NA
FINC,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
PSYC,HIST,NA,NA,NA,NA
PCA,BUSLA,NA,NA,NA,NA
ENVS,NA,NA,NA,NA,NA
FINC,BUSLA,NA,NA,NA,NA
ENG,NA,NA,DMF,EDUCS,NA
ANTH,DMF,NA,NA,NA,NA
PCA,BUSLA,NA,NA,NA,NA
STAT,NA,NA,CS,NA,NA
ENVS,NA,NA,SOC,GNDR,NA
CHEM,NA,NA,MATH,NA,NA
EN_SO,HISP,NA,NA,NA,NA
GOVT,BUSLA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
PCA,BUSLA,NA,EUR,NA,NA
GOVT,NA,NA,NA,NA,NA
ENG,ART,NA,REL,NA,NA
PSYC,ART,NA,NA,NA,NA
EN_BI,NA,NA,PCA,OUTDR,NA
ENVS,NA,NA,GEOL,NA,NA
GOVT,NA,NA,AFS,NA,NA
GOVT,FRST,ENVS,NA,NA,NA
PSYC,NA,NA,REL,NA,NA
SOC,NA,NA,NA,NA,NA
PSYC,NA,NA,SOC,NA,NA
PSYC,NA,NA,SSES,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
GS,HISP,GOVT,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
PCA,NA,NA,NA,NA,NA
MATH,NA,NA,SSES,NA,NA
GOVT,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PCA,BUSLA,NA,NA,NA,NA
BIOL,ANTH,NA,NA,NA,NA
FINC,BUSLA,NA,STATS,NA,NA
MFDBA,NA,NA,NA,NA,NA
DATA,NA,NA,NA,NA,NA
ENG,NA,NA,PUB,EUR,NA
PCA,NA,NA,NA,NA,NA
PCA,NA,NA,SOC,NA,NA
DATA,NA,NA,ECON,NA,NA
ECON,NA,NA,NA,NA,NA
GEOL,NA,NA,MATH,NA,NA
PSYC,ANTH,NA,PUB,NA,NA
ECON,NA,NA,NA,NA,NA
CHEM,NA,NA,GOVT,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PSYC,NA,NA,GNDR,NA,NA
GOVT,MULTL,NA,ARAB,NA,NA
GS,NA,NA,REL,GOVT,NA
EN_BI,NA,NA,CS,NA,NA
MUS,ENVS,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
GOVT,NA,NA,MUS,NA,NA
CS,EN_MA,NA,NA,NA,NA
NRSCI,NA,NA,SSES,CHEM,NA
PCA,BUSLA,NA,NA,NA,NA
STAT,PUB,NA,NA,NA,NA
ART,NA,NA,EUR,NA,NA
NRSCI,NA,NA,NA,NA,NA
STAT,NA,NA,CS,NA,NA
NRSCI,NA,NA,EDUCS,NA,NA
CS,NA,NA,NA,NA,NA
ENVS,ANTH,NA,GS,NA,NA
ECON,NA,NA,STATS,NA,NA
STAT,NA,NA,ECON,NA,NA
PCA,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
ENG,NA,NA,EDUCS,NA,NA
GEOL,NA,NA,NA,NA,NA
GOVT,NA,NA,PHIL,NA,NA
CHEM,NA,NA,NA,NA,NA
GOVT,ECON,NA,NA,NA,NA
MATH,GOVT,NA,NA,NA,NA
SOC,NA,NA,AFS,EDUCS,NA
PUB,SOC,NA,SSES,NA,NA
ART,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
FINC,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
CS,NA,NA,NA,NA,NA
CS,BUSLA,NA,NA,NA,NA
GEOL,NA,NA,OUTDR,NA,NA
PCA,NA,NA,SSES,NA,NA
PSYC,STAT,NA,NA,NA,NA
BIMED,NA,NA,PUB,SSES,NA
GOVT,BUSLA,NA,NA,NA,NA
DATA,NA,NA,PUB,NA,NA
BIOL,MATH,NA,NA,NA,NA
EN_EC,NA,NA,NA,NA,NA
FINC,NA,NA,SSES,NA,NA
SOC,NA,NA,SSES,NA,NA
SOC,NA,NA,SSES,NA,NA
ECON,BUSLA,NA,NA,NA,NA
SOC,ECON,NA,ENG,NA,NA
PSYC,NA,NA,SOC,NA,NA
HIST,GOVT,NA,NA,NA,NA
PSYC,GS,NA,ART,NA,NA
BIOL,SOC,NA,NA,NA,NA
PSYC,GOVT,NA,NA,NA,NA
PCA,BUSLA,NA,NA,NA,NA
GOVT,NA,NA,GRST,NA,NA
MUS,NA,NA,DMF,HISP,NA
BIOL,NA,NA,NA,NA,NA
EN_EN,NA,NA,NA,NA,NA
DATA,NA,NA,MATH,NA,NA
BIOL,ANTH,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
GOVT,ECON,NA,NA,NA,NA
ECON,BUSLA,NA,PCA,NA,NA
ART,GOVT,NA,GNDR,NA,NA
EN_SO,NA,NA,OUTDR,NA,NA
PCA,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
STAT,ECON,NA,NA,NA,NA
FINC,GOVT,NA,NA,NA,NA
HIST,GOVT,NA,EDUCS,NA,NA
GS,PUB,NA,NA,NA,NA
GEOL,NA,NA,NA,NA,NA
BI_PH,NA,NA,MATH,NA,NA
CHEM,NA,NA,BIOL,NA,NA
ECON,BUSLA,NA,NA,NA,NA
FINC,BUSLA,NA,NA,NA,NA
ART,NA,NA,EUR,NA,NA
ECON,BUSLA,NA,EDUCS,NA,NA
BIOL,NA,NA,CLAS,NA,NA
GS,NA,NA,AFS,NA,NA
BIMED,NA,NA,NA,NA,NA
BIMED,NA,NA,PHIL,NA,NA
PHCH,NA,NA,NA,NA,NA
ECON,BUSLA,NA,SSES,NA,NA
EN_GO,NA,NA,GNDR,NA,NA
BIMED,NA,NA,NA,NA,NA
EN_GE,HISP,NA,CLAS,FRST,NA
CS,NA,NA,NA,NA,NA
ENG,NA,NA,OUTDR,NA,NA
GEOL,REL,NA,NA,NA,NA
FINC,BUSLA,NA,NA,NA,NA
BIOL,NA,NA,SSES,NA,NA
PSYC,NA,NA,SOC,NA,NA
EN_SO,NA,NA,NA,NA,NA
BIOL,ANTH,NA,NA,NA,NA
GOVT,NA,NA,SSES,NA,NA
PUB,NA,NA,NAS,NA,NA
GS,MULTL,NA,NA,NA,NA
EN_MA,NA,NA,NA,NA,NA
GOVT,NA,NA,HIST,NA,NA
SOC,BUSLA,NA,NA,NA,NA
NRSCI,NA,NA,MATH,NA,NA
NRSCI,NA,NA,NA,NA,NA
SOC,NA,NA,ART,EDUCS,NA
EN_SO,NA,NA,FRST,GOVT,NA
MFDBA,NA,NA,NA,NA,NA
ECON,NA,NA,GOVT,NA,NA
AF_GO,NA,NA,NA,NA,NA
PHYS,NA,NA,MATH,NA,NA
PCA,NA,NA,EDUCS,NA,NA
ENG,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
EC_MA,NA,NA,FRST,STATS,NA
ENVS,NA,NA,NA,NA,NA
ECON,NA,NA,DATA,HISP,NA
PCA,ART,NA,NA,NA,NA
HISP,NA,NA,CLAS,NA,NA
MATH,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
BIOL,NA,NA,SSES,NA,NA
ENVS,ART,NA,CLAS,NA,NA
BIOL,ANTH,NA,NA,NA,NA
DATA,NA,NA,NA,NA,NA
ENG,PHIL,NA,NA,NA,NA
GS,NA,NA,EUR,ITAL,NA
MATH,NA,NA,NA,NA,NA
ENVS,ART,NA,NA,NA,NA
MULTL,NA,NA,EUR,NA,NA
PSYC,NA,NA,NA,NA,NA
MFDBA,NA,NA,EUR,OUTDR,NA
FINC,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
BIOCH,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
HIST,BUSLA,NA,NA,NA,NA
PCA,ENG,NA,NA,NA,NA
DATA,NA,NA,NA,NA,NA
ENG,NA,NA,GNDR,NA,NA
ECON,NA,NA,DMF,SSES,NA
FINC,BUSLA,NA,STATS,NA,NA
FINC,BUSLA,NA,NA,NA,NA
PCA,NA,NA,SSES,EDUCS,NA
ECON,NA,NA,SSES,NA,NA
PCA,NA,NA,ECON,NA,NA
GS,NA,NA,AFS,EDUCS,PUB
GOVT,NA,NA,AFS,NA,NA
PHIL,ART,NA,FRST,AS,NA
PCA,BUSLA,NA,NA,NA,NA
DMF,NA,NA,GRST,NA,NA
ECON,BUSLA,NA,PCA,NA,NA
ECON,NA,NA,GS,STATS,NA
PCA,NA,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
PCA,NA,NA,SSES,NA,NA
ENG,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
PCA,BUSLA,NA,NA,NA,NA
GOVT,HIST,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
ENVS,BUSLA,NA,NA,NA,NA
SOC,NA,NA,EDUCS,PUB,NA
BIOL,NA,NA,PSYC,NA,NA
ECON,NA,NA,STATS,NA,NA
GOVT,NA,NA,EDUCS,NA,NA
PSYC,HISP,NA,NA,NA,NA
NRSCI,NA,NA,SSES,NA,NA
ENVS,NA,NA,AFS,SOC,NA
EN_SO,NA,NA,GNDR,PUB,NA
PCA,BUSLA,NA,FRST,NA,NA
ECON,BUSLA,NA,PCA,NA,NA
DATA,NA,NA,PCA,NA,NA
ECON,NA,NA,MATH,STATS,NA
ECON,BUSLA,NA,STATS,NA,NA
CS,NA,NA,MATH,PHIL,NA
ECON,BUSLA,NA,NA,NA,NA
REL,ANTH,NA,NA,NA,NA
NRSCI,NA,NA,STATS,NA,NA
GOVT,ECON,NA,NA,NA,NA
CHEM,NA,NA,SOC,NA,NA
BIOL,NA,NA,SSES,NA,NA
GOVT,NA,NA,SSES,NA,NA
MUS,DMF,NA,NA,NA,NA
DMF,BUSLA,NA,MUS,NA,NA
DATA,FRST,NA,NA,NA,NA
SOC,NA,NA,EDUCS,NA,NA
PCA,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
ECON,NA,NA,SSES,NA,NA
PCA,NA,NA,NA,NA,NA
PCA,BUSLA,NA,NA,NA,NA
FINC,BUSLA,NA,SSES,NA,NA
HIST,NA,NA,ARAB,PSYC,NA
MATH,NA,NA,OUTDR,NA,NA
FRST,PSYC,NA,NA,NA,NA
GOVT,NA,NA,EUR,NA,NA
NRSCI,NA,NA,PUB,NA,NA
ECON,NA,NA,NA,NA,NA
CHEM,NA,NA,NA,NA,NA
EC_MA,NA,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
ANTH,NA,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
STAT,NA,NA,ART,NA,NA
ECON,BUSLA,NA,NA,NA,NA
SOC,NA,NA,NA,NA,NA
PSYC,NA,NA,SSES,NA,NA
DATA,NA,NA,SSES,NA,NA
MFDBS,NA,NA,HISP,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ENVS,NA,NA,OUTDR,GEOL,NA
MATH,ART,NA,NA,NA,NA
SOC,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
BIOL,BUSLA,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
PCA,NA,NA,EDUCS,NA,NA
PCA,NA,NA,NA,NA,NA
EN_BI,NA,NA,NA,NA,NA
ENVS,HISP,NA,NA,NA,NA
ECON,NA,NA,MATH,NA,NA
EN_SO,NA,NA,GOVT,NA,NA
ECON,BUSLA,NA,EUR,SSES,NA
PSYC,NA,NA,SOC,NA,NA
PSYC,CS,NA,NA,NA,NA
CS,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
SOC,BUSLA,NA,MATH,NA,NA
ANTH,NA,NA,EDUCS,HISP,PUB
EC_MA,PSYC,NA,STATS,NA,NA
PSYC,NA,NA,STATS,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
SOC,NA,NA,PUB,NA,NA
DATA,NA,NA,NA,NA,NA
BIOL,NA,NA,CHEM,NA,NA
BIOL,NA,NA,PSYC,NA,NA
PCA,NA,NA,NA,NA,NA
BIOL,NA,NA,CLAS,NA,NA
PSYC,BUSLA,NA,SSES,NA,NA
PSYC,NA,NA,PUB,NA,NA
BIMED,NA,NA,CHEM,NA,NA
NRSCI,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
ART,BUSLA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
ENVS,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PCA,NA,NA,SSES,EDUCS,NA
ECON,BUSLA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
GOVT,NA,NA,HIST,GS,NA
GOVT,NA,NA,SSES,NA,NA
GS,NA,NA,NA,NA,NA
MUS,NA,NA,NA,NA,NA
HIST,NA,NA,GOVT,NA,NA
ENG,NA,NA,NA,NA,NA
ENVS,NA,NA,ITAL,NA,NA
ENVS,NA,NA,NA,NA,NA
MFDBS,NA,NA,NA,NA,NA
PSYC,NA,NA,PUB,NA,NA
BIOL,NA,NA,SOC,CHEM,NA
PSYC,MUS,NA,EDUCS,NA,NA
REL,NA,NA,HISP,NA,NA
PSYC,NA,NA,PUB,EDUCS,NA
EC_MA,NA,NA,NA,NA,NA
STAT,NA,NA,EDUCS,NA,NA
GOVT,GS,NA,NA,NA,NA
MATH,PHYS,NA,NA,NA,NA
ART,NA,NA,AS,NA,NA
PSYC,NA,NA,ART,PUB,NA
SOC,NA,NA,GOVT,NA,NA
ENVS,NA,NA,OUTDR,NA,NA
GOVT,NA,NA,CNS,NA,NA
PSYC,NA,NA,PUB,NA,NA
BIOL,NA,NA,PUB,CHEM,NA
CS,NA,NA,STATS,NA,NA
MATH,BUSLA,NA,DATA,NA,NA
ENG,NA,NA,SSES,NA,NA
HIST,BUSLA,NA,SSES,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
ENG,BUSLA,NA,ART,NA,NA
ECON,STAT,NA,NA,NA,NA
ENG,BUSLA,NA,NA,NA,NA
CONBI,NA,NA,GEOL,NA,NA
ENG,NA,NA,NA,NA,NA
GOVT,NA,NA,SSES,NA,NA
EC_FR,NA,NA,NA,NA,NA
EN_SO,NA,NA,EUR,PHIL,NA
PSYC,BUSLA,NA,EDUCS,NA,NA
CS,NA,NA,NA,NA,NA
MATH,ECON,NA,NA,NA,NA
ECON,BUSLA,NA,SSES,NA,NA
GS,NA,NA,NA,NA,NA
PCA,NA,NA,FLMS,SOC,NA
HIST,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,PHIL,NA,NA
DATA,NA,NA,PUB,MATH,NA
CONBI,NA,NA,NA,NA,NA
SOC,NA,NA,EDUCS,NA,NA
PCA,NA,NA,SOC,NA,NA
BI_PH,NA,NA,MATH,NA,NA
BIOL,NA,NA,NA,NA,NA
NRSCI,NA,NA,NA,NA,NA
SOC,BUSLA,NA,GNDR,NA,NA
STAT,MATH,NA,NA,NA,NA
BIOL,NA,NA,PUB,REL,NA
ECON,BUSLA,NA,PCA,NA,NA
PCA,NA,NA,FLMS,NA,NA
PSYC,BUSLA,NA,EDUCS,NA,NA
ECON,BUSLA,NA,NA,NA,NA
BIOL,NA,NA,CS,NA,NA
EC_FR,NA,NA,EUR,ITAL,NA
PSYC,NA,NA,EDUCS,PUB,GOVT
ECON,BUSLA,NA,EUR,STATS,NA
BIOL,NA,NA,NA,NA,NA
PSYC,NA,NA,PUB,NA,NA
ENG,GOVT,NA,NA,NA,NA
GOVT,NA,NA,PHIL,AFS,NA
PCA,NA,NA,NA,NA,NA
ECON,BUSLA,NA,FRST,NA,NA
PSYC,HISP,NA,NA,NA,NA
BI_PH,NA,NA,NA,NA,NA
GOVT,ENVS,NA,NA,NA,NA
MATH,NA,NA,NA,NA,NA
STAT,NA,NA,PUB,NA,NA
SOC,NA,NA,EDUCS,AFS,NA
PCA,NA,NA,NA,NA,NA
PSYC,NA,NA,PUB,NA,NA
SOC,ECON,BUSLA,NA,NA,NA
EN_EN,NA,NA,NA,NA,NA
BIMED,NA,NA,PUB,NA,NA
PSYC,NA,NA,STATS,PUB,NA
ENG,PHIL,NA,EDUCS,NA,NA
ENVS,NA,NA,EDUCS,OUTDR,NA
EN_BI,NA,NA,NA,NA,NA
PSYC,NA,NA,PHIL,SSES,NA
ECON,BUSLA,NA,EUR,DATA,NA
SOC,PUB,NA,NA,NA,NA
EC_MA,NA,NA,STATS,NA,NA
BIOL,ANTH,NA,AFS,PUB,NA
GOVT,NA,NA,NA,NA,NA
GS,NA,NA,REL,NA,NA
GOVT,EC_FR,NA,NA,NA,NA
BIOL,NA,NA,PUB,NA,NA
BIOL,NA,NA,SSES,NA,NA
ECON,ANTH,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
GOVT,BUSLA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
ENG,NA,NA,GRST,EDUCS,NA
GOVT,NA,NA,ENG,FLMS,NA
EN_EN,NA,NA,PEAC,NA,NA
PHIL,BUSLA,NA,HISP,NA,NA
ECON,BUSLA,NA,NA,NA,NA
HISP,MUS,NA,NA,NA,NA
EN_BI,NA,NA,MATH,NA,NA
EN_BI,NA,NA,GEOL,NA,NA
PCA,BUSLA,NA,NA,NA,NA
PSYC,NA,NA,EUR,PUB,NA
ART,NA,NA,NA,NA,NA
EN_BI,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
PHIL,BUSLA,NA,SOC,PUB,NA
ENG,NA,NA,ART,NA,NA
CS,NA,NA,MATH,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
GOVT,ECON,NA,NA,NA,NA
ENG,NA,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,SSES,NA
AS_GO,HIST,NA,NA,NA,NA
GS,NA,NA,GOVT,NA,NA
BIOCH,NA,NA,ENG,NA,NA
GOVT,NA,NA,ARAB,NA,NA
EN_SO,NA,NA,OUTDR,NA,NA
ECON,BUSLA,NA,GOVT,NA,NA
ENG,NA,NA,HISP,NA,NA
BIOL,NA,NA,PUB,EUR,NA
GEOL,MATH,NA,NA,NA,NA
PSYC,GOVT,NA,CHIN,NA,NA
AF_HI,NA,NA,NA,NA,NA
ART,NA,NA,CLAS,HISP,NA
ECON,NA,NA,GOVT,NA,NA
ART,NA,NA,NA,NA,NA
HIST,ANTH,NA,NA,NA,NA
ANTH,NA,NA,BIOL,NA,NA
GOVT,NA,NA,EUR,NA,NA
GS,NA,NA,ENG,NA,NA
GEOL,NA,NA,NA,NA,NA
GEOL,NA,NA,OUTDR,NA,NA
SOC,NA,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
GOVT,NA,NA,NA,NA,NA
PSYC,NA,NA,SSES,NA,NA
PSYC,GOVT,NA,ARAB,NA,NA
GOVT,NA,NA,GS,NA,NA
PHYS,CS,MATH,NA,NA,NA
CHEM,NA,NA,MATH,NA,NA
PSYC,NA,NA,BIOL,NA,NA
EN_SO,NA,NA,HISP,NA,NA
EN_BI,NA,NA,DATA,NA,NA
ECON,BUSLA,NA,EDUCS,STATS,NA
STAT,ECON,NA,NA,NA,NA
BIMED,NA,NA,NA,NA,NA
PHYS,MATH,NA,NA,NA,NA
PCA,NA,NA,CLAS,HISP,NA
BIOL,NA,NA,CHEM,NA,NA
ECON,NA,NA,NA,NA,NA
BIMED,NA,NA,SSES,NA,NA
MATH,NA,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
ECON,PHIL,NA,NA,NA,NA
MATH,NA,NA,ECON,DATA,NA
ENG,NA,NA,MUS,NA,NA
BIOL,NA,NA,NA,NA,NA
EC_MA,BUSLA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
CONBI,NA,NA,NA,NA,NA
EC_ML,NA,NA,GOVT,NA,NA
ENVS,NA,NA,NA,NA,NA
EC_SP,MUS,NA,NA,NA,NA
ANTH,NA,NA,PUB,NA,NA
ECON,BUSLA,NA,NA,NA,NA
HIST,PHIL,NA,NA,NA,NA
ECON,BUSLA,NA,FRST,NA,NA
GS,ENVS,NA,NA,NA,NA
CONBI,NA,NA,NA,NA,NA
HIST,CS,NA,EUR,NA,NA
PCA,NA,NA,SOC,NA,NA
ECON,NA,NA,EDUCS,NA,NA
PSYC,BUSLA,NA,PUB,SSES,NA
PSYC,SOC,NA,NA,NA,NA
HIST,BUSLA,NA,EDUCS,NA,NA
ECON,BUSLA,NA,NA,NA,NA
EC_MA,NA,NA,HISP,STATS,NA
MATH,NA,NA,CS,NA,NA
ECON,NA,NA,MATH,NA,NA
MFDBA,NA,NA,NA,NA,NA
EN_PS,NA,NA,NA,NA,NA
ECON,BUSLA,NA,FLMS,NA,NA
PSYC,NA,NA,GNDR,STATS,NA
CS,NA,NA,NA,NA,NA
ENG,NA,NA,SSES,PCA,NA
BIOCH,NA,NA,PUB,NA,NA
BI_PH,MATH,NA,NA,NA,NA
PSYC,NA,NA,PUB,NA,NA
EC_ML,BUSLA,NA,NA,NA,NA
MFDBS,NA,NA,OUTDR,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
SOC,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
ECON,BUSLA,NA,PCA,NA,NA
STAT,HISP,NA,NA,NA,NA
NRSCI,NA,NA,NA,NA,NA
ECON,BUSLA,NA,SSES,NA,NA
GS,NA,NA,PUB,NA,NA
GOVT,NA,NA,AFS,ENG,NA
ECON,BUSLA,NA,NA,NA,NA
DATA,NA,NA,SSES,NA,NA
PCA,NA,NA,NA,NA,NA
BIMED,NA,NA,CHEM,NA,NA
HIST,NA,NA,HISP,EDUCS,NA
PCA,BUSLA,NA,SSES,NA,NA
GS,NA,NA,PEAC,PHIL,NA
PSYC,NA,NA,ART,GNDR,NA
CONBI,NA,NA,GOVT,NA,NA
PCA,NA,NA,NA,NA,NA
CONBI,NA,NA,GS,NA,NA
BIOL,NA,NA,EDUCS,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
NRSCI,NA,NA,NA,NA,NA
ENVS,NA,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
ECON,BUSLA,NA,GOVT,NA,NA
EN_SO,NA,NA,NA,NA,NA
PCA,MATH,NA,GRST,NA,NA
GOVT,BUSLA,NA,NA,NA,NA
EN_GE,NA,NA,NA,NA,NA
GS,NA,NA,NA,NA,NA
PCA,BUSLA,NA,NA,NA,NA
EN_EC,NA,NA,EUR,NA,NA
PSYC,NA,NA,SOC,NA,NA
PHIL,BUSLA,NA,NA,NA,NA
HIST,NA,NA,NA,NA,NA
HIST,NA,NA,NA,NA,NA
PCA,NA,NA,SSES,NA,NA
SOC,NA,NA,EDUCS,NA,NA
BIOL,NA,NA,NA,NA,NA
ENVS,NA,NA,EUR,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
ART,NA,NA,GNDR,NA,NA
PCA,NA,NA,NA,NA,NA
ENG,SOC,NA,GOVT,NA,NA
GS,EC_ML,NA,CLAS,NA,NA
GOVT,BUSLA,NA,NA,NA,NA
PSYC,NA,NA,ENG,NA,NA
PCA,BUSLA,NA,EDUCS,NA,NA
ECON,BUSLA,NA,SSES,NA,NA
ART,NA,NA,PUB,EDUCS,NA
PCA,NA,NA,GS,NA,NA
CS,MATH,NA,MUS,NA,NA
PCA,BUSLA,NA,NA,NA,NA
ECON,NA,NA,GOVT,NA,NA
ECON,NA,NA,NA,NA,NA
PCA,BUSLA,NA,SSES,NA,NA
PSYC,NA,NA,EDUCS,PUB,NA
ECON,BUSLA,NA,SSES,NA,NA
GEOL,NA,NA,NA,NA,NA
NRSCI,NA,NA,PUB,NA,NA
MATH,NA,NA,STATS,NA,NA
GOVT,NA,NA,EUR,NA,NA
PCA,REL,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,SSES,NA
ECON,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,GOVT,NA,NA
CHEM,NA,NA,MATH,NA,NA
ART,BUSLA,NA,EUR,NA,NA
MULTL,NA,NA,GS,NA,NA
MATH,BUSLA,NA,NA,NA,NA
ECON,NA,NA,FRST,NA,NA
MUS,PCA,NA,NA,NA,NA
AS_RS,NA,NA,GS,OUTDR,NA
PCA,BUSLA,NA,NA,NA,NA
EN_EC,NA,NA,STATS,NA,NA
AF_GO,NA,NA,HIST,NA,NA
MULTL,NA,NA,PCA,NA,NA
ECON,NA,NA,NA,NA,NA
HIST,NA,NA,EDUCS,NA,NA
GS,PSYC,NA,NA,NA,NA
